t,x,vx,ax,y,vy,ay,z,vz,az,roll,wx,alphax,pitch,wy,alphay,yaw,wz,alphaz
49.8276887279042,0.997634908854543,0.00224129896937658,-0.00136498062919706,-0.0037149397527479,0.00352023546808124,-0.00214313308807406,0,0,0,0,0,0,0,0,0,-5.00227347384197e-05,9.48146544279515e-05,-0.000147616925817361
49.8376882123405,0.997657252505106,0.00222766738922646,-0.00136147497175172,-0.00367984626719991,0.00349883266165469,-0.00213764727222351,0,0,0,0,0,0,0,0,0,-4.90819873839587e-05,9.33474888729735e-05,-0.00014583387917513
49.8476876967768,0.997679460022264,0.00221407089370478,-0.00135796334126577,-0.00364496652424967,0.00347748475935151,-0.00213215169744199,0,0,0,0,0,0,0,0,0,-4.8155822040874e-05,9.18980762150466e-05,-0.000144066150765797
49.8576871812131,0.997701531757135,0.00220050954255296,-0.00135444573488057,-0.00361029997440881,0.00345619185875062,-0.0021266463647253,0,0,0,0,0,0,0,0,0,-4.72440619543324e-05,9.04662636522401e-05,-0.00014231366615333
49.8676866656494,0.997723468061448,0.00218698339554128,-0.00135092214973756,-0.00357584606719725,0.00343495405742173,-0.00212113127500947,0,0,0,0,0,0,0,0,0,-4.6346531892949e-05,8.90518991264181e-05,-0.000140576350928426
49.8776861500857,0.997745269287528,0.00217349251246872,-0.0013473925829781,-0.00354160425115537,0.00341377145292568,-0.00211560642917092,0,0,0,0,0,0,0,0,0,-4.54630581430138e-05,8.76548313232745e-05,-0.000138854130708993
49.887685634522,0.997766935788289,0.0021600369531626,-0.00134385703174364,-0.0035075739738678,0.00339264414281446,-0.00211007182802708,0,0,0,0,0,0,0,0,0,-4.45934684991656e-05,8.62749096726283e-05,-0.000137146931141377
49.8976851189583,0.997788467917255,0.0021466167774786,-0.00134031549317555,-0.00347375468192113,0.0033715722246318,-0.00210452747233664,0,0,0,0,0,0,0,0,0,-4.37375922586192e-05,8.49119843470863e-05,-0.000135454677899589
49.9076846033946,0.997809866028542,0.0021332320453013,-0.00133676796441523,-0.00344014582093972,0.00335055579591466,-0.00209897336280003,0,0,0,0,0,0,0,0,0,-4.28952602127275e-05,8.35659062626581e-05,-0.000133777296688539
49.9176840878309,0.997831130476865,0.00211988281654418,-0.00133321444260409,-0.00340674683557268,0.00332959495419374,-0.00209340950005989,0,0,0,0,0,0,0,0,0,-4.20663046403202e-05,8.22365270781217e-05,-0.000132114713244513
