t,x,vx,ax,y,vy,ay,z,vz,az,roll,wx,alphax,pitch,wy,alphay,yaw,wz,alphaz
21.9657902575223,0.501937549841406,0.055371987733751,-2.70369284308851e-05,-0.00304342099707043,-0.0869716696840621,0.000410851410961774,0,0,0,0,0,0,0,0,0,-2.00773607235521,0.00191890556742221,0.0548474476610296
21.9757877768255,0.502491130877774,0.055371678817366,-3.47616681585753e-05,-0.00391289945595529,-0.0869669754779247,0.000528220927922622,0,0,0,0,0,0,0,0,0,-2.00771414694947,0.00246727607597866,0.0548549016687983
21.9857852961287,0.503044708439698,0.0553712926730965,-4.24863351611364e-05,-0.00478232511905327,-0.0869611079277037,0.000645577995351928,0,0,0,0,0,0,0,0,0,-2.00768673879542,0.00301573042358914,0.0548642198877843
21.9957828154319,0.503598281755098,0.0553708293017505,-5.02109132774285e-05,-0.0056516862565051,-0.086954067171689,0.000762919847588951,0,0,0,0,0,0,0,0,0,-2.00765384696171,0.00356428724982302,0.0548754027908055
22.0057803347351,0.504151850051898,0.0553702887042972,-5.79353863462948e-05,-0.00652097113996808,-0.0869458533758172,0.000880243719513226,0,0,0,0,0,0,0,0,0,-2.00761547033061,0.00411296519944659,0.0548884509452006
22.0157778540383,0.504705412558035,0.0553696708818677,-6.56597382066202e-05,-0.00739016804289894,-0.0869364667336665,0.000997546846643703,0,0,0,0,0,0,0,0,0,-2.00757160759796,0.0046617829233721,0.0549033650128348
22.0257753733415,0.505258968501456,0.0553689758357546,-7.3383952697234e-05,-0.00825926524082754,-0.0869259074664493,0.00111482646523652,0,0,0,0,0,0,0,0,0,-2.00752225727311,0.00521075907960091,0.0549201457500552
22.0357728926447,0.505812517110123,0.0553682035674121,-8.1108013657018e-05,-0.00912825101163176,-0.0869141758230045,0.0012320798123832,0,0,0,0,0,0,0,0,0,-2.00746741767882,0.0057599123341672,0.0549387940076792
22.0457704119479,0.506366057612014,0.0553673540784558,-8.88319049248262e-05,-0.00999711363581774,-0.0869012720797887,0.00134930412610919,0,0,0,0,0,0,0,0,0,-2.0074070869512,0.00630926136208486,0.0549593107309605
22.0557679312511,0.506919589235123,0.055366427370663,-9.65556103395142e-05,-0.0108658413967915,-0.0868871965408663,0.00146649664547146,0,0,0,0,0,0,0,0,0,-2.00734126303962,0.00685882484828869,0.0549816969595657
22.0657654505543,0.507473111207463,0.0553654234459726,-0.000104279113739955,-0.011734422581139,-0.0868719495378985,0.0015836546106571,0,0,0,0,0,0,0,0,0,-2.00726994370658,0.00740862148858063,0.0550059538275416
22.0757629698575,0.508026622757066,0.055364342306485,-0.000112002398964983,-0.0126028454788975,-0.0868555314301321,0.00170077526308071,0,0,0,0,0,0,0,0,0,-2.00719312652761,0.00795866999057048,0.0550320825632587
22.0857604891606,0.508580123111987,0.0553631839544622,-0.000119725449853479,-0.0134710983838345,-0.0868379426043862,0.00181785584548282,0,0,0,0,0,0,0,0,0,-2.00711080889115,0.00850898907462048,0.0550600844893929
22.0957580084638,0.509133611500305,0.0553619483923278,-0.000127448250244292,-0.0143391695937239,-0.0868191834750385,0.00193489360202778,0,0,0,0,0,0,0,0,0,-2.00702298799841,0.00905959747478864,0.0550899610228765
22.105755527767,0.509687087150122,0.0553606356226668,-0.000135170783976281,-0.0152070474106187,-0.0867992544840107,0.00205188577840121,0,0,0,0,0,0,0,0,0,-2.00692966086326,0.00961051393976862,0.0551217136748343
22.1157530470702,0.510240549289569,0.0553592456482262,-0.00014289303488831,-0.016074720141127,-0.0867781561007533,0.00216882962190795,0,0,0,0,0,0,0,0,0,-2.006830824312,0.0101617572338323,0.0551553440505626
22.1257505663734,0.510793997146804,0.0553577784719141,-0.000150614986819243,-0.0169421760966908,-0.0867558888222275,0.00228572238157002,0,0,0,0,0,0,0,0,0,-2.00672647498331,0.0107133461377724,0.0551908538494442
22.1357480856766,0.511347429950013,0.0553562340968003,-0.000158336623607932,-0.0178094035938532,-0.0867324531728894,0.0024025613082233,0,0,0,0,0,0,0,0,0,-2.00661660932798,0.0112652994498388,0.0552282448649038
22.1457456049798,0.511900846927419,0.0553546125261163,-0.000166057929093222,-0.0186763909545426,-0.0867078497046696,0.00251934365461612,0,0,0,0,0,0,0,0,0,-2.0065012236088,0.0118176359866838,0.0552675189843414
22.155743124283,0.512454247307271,0.0553529137632551,-0.000173778887114004,-0.0195431265063389,-0.0866820789969554,0.0026360666755058,0,0,0,0,0,0,0,0,0,-2.00638031390033,0.0123703745842964,0.0553086781890691
22.1657406435862,0.513007630317859,0.0553511378117712,-0.000181499481509108,-0.0204095985827548,-0.0866551416565683,0.00275272762775649,0,0,0,0,0,0,0,0,0,-2.00625387608871,0.0129235340989447,0.0553517245542448
22.1757381628894,0.513560995187506,0.0553492846753809,-0.00018921969611742,-0.0212757955235042,-0.0866270383177441,0.00286932377043594,0,0,0,0,0,0,0,0,0,-2.00612190587147,0.0134771334081106,0.0553966602487753
22.1857356821926,0.514114341144574,0.0553473543579618,-0.000196939514777785,-0.0221417056747803,-0.0865977696421093,0.00298585236491284,0,0,0,0,0,0,0,0,0,-2.00598439875731,0.0140311914114291,0.0554434875352604
22.1957332014958,0.514667667417463,0.0553453468635532,-0.000204658921329052,-0.0230073173895261,-0.0865673363186583,0.00310231067495356,0,0,0,0,0,0,0,0,0,-2.00584135006585,0.0145857270316225,0.0554922087699006
22.205730720799,0.515220973234615,0.0553432621963559,-0.000212377899610095,-0.0238726190277115,-0.0865357390637284,0.00321869596681939,0,0,0,0,0,0,0,0,0,-2.00569275492741,0.015140759215438,0.055542826402396
22.2157282401022,0.515774257824518,0.0553411003607324,-0.000220096433459774,-0.0247375989566039,-0.0865029786209749,0.00333500550936292,0,0,0,0,0,0,0,0,0,-2.00553860828278,0.0156963069345806,0.0555953429758728
22.2257257594054,0.516327520415699,0.0553388613612067,-0.00022781450671694,-0.0256022455510414,-0.0864690557613442,0.00345123657412464,0,0,0,0,0,0,0,0,0,-2.00537890488295,0.0162523891866462,0.0556497611267699
22.2357232787086,0.516880760236735,0.0553365452024642,-0.000235532103220446,-0.0264665471937054,-0.0864339712830467,0.00356738643542948,0,0,0,0,0,0,0,0,0,-2.00521363928882,0.0168090249960547,0.055706083584742
22.2457207980118,0.517433976516249,0.0553341518893524,-0.000243249206809175,-0.0273304922753951,-0.086397726011529,0.00368345237048334,0,0,0,0,0,0,0,0,0,-2.00504280587099,0.0173662334149821,0.0557643131725489
22.255718317315,0.517987168482914,0.0553316814268797,-0.000250965801321978,-0.0281940691952977,-0.0863603207994431,0.00379943165946901,0,0,0,0,0,0,0,0,0,-2.00486639880943,0.0179240335242896,0.0558244528059249
22.2657158366182,0.518540335365453,0.0553291338202164,-0.000258681870597696,-0.0290572663612604,-0.086321756526618,0.00391532158564222,0,0,0,0,0,0,0,0,0,-2.0046844120932,0.018482444434453,0.0558865054934877
22.2757133559214,0.519093476392642,0.0553265090746945,-0.000266397398475214,-0.0299200721900612,-0.0862820341000273,0.00403111943542759,0,0,0,0,0,0,0,0,0,-2.00449683952014,0.0190414852864897,0.0559504743365969
22.2857108752246,0.519646590793311,0.0553238071958073,-0.000274112368793372,-0.030782475107683,-0.0862411544537574,0.0041468224985145,0,0,0,0,0,0,0,0,0,-2.0043036746966,0.0196011752528874,0.0560163625292149
22.2957083945277,0.520199677796345,0.0553210281892099,-0.000281826765391033,-0.0316444635495812,-0.0861991185489743,0.00426242806795243,0,0,0,0,0,0,0,0,0,-2.00410491103706,0.0201615335385272,0.0560841733577667
22.3057059138309,0.52075273663069,0.0553181720607188,-0.000289540572107057,-0.0325060259609577,-0.0861559273738897,0.00437793344024668,0,0,0,0,0,0,0,0,0,-2.00390054176384,0.0207225793816089,0.0561539102010174
22.3157034331341,0.521305766525346,0.0553152388163121,-0.000297253772780316,-0.0333671507970268,-0.0861115819437259,0.00449333591545322,0,0,0,0,0,0,0,0,0,-2.00369055990678,0.0212843320545716,0.0562255765298952
22.3257009524373,0.521858766709375,0.0553122284621296,-0.00030496635124965,-0.0342278265232879,-0.0860660833006797,0.00460863279727389,0,0,0,0,0,0,0,0,0,-2.00347495830285,0.021846810865015,0.0562991759073396
22.3356984717405,0.522411736411904,0.0553091410044726,-0.000312678291353931,-0.0350880416157955,-0.0860194325138856,0.00472382139315158,0,0,0,0,0,0,0,0,0,-2.0032537295958,0.0224100351566202,0.0563747119881508
22.3456959910437,0.522964674862119,0.0553059764498039,-0.000320389576932018,-0.0359477845614256,-0.0859716306793783,0.00483889901436447,0,0,0,0,0,0,0,0,0,-2.00302686623582,0.0229740243100639,0.0564521885187963
