t,x,vx,ax,y,vy,ay,z,vz,az,roll,wx,alphax,pitch,wy,alphay,yaw,wz,alphaz
10.0317781569959,0.254936282793266,0.109638537395491,-0.00119090896075499,0.101974513117307,0.0438554149581962,-0.000476363584301978,0,0,0,0,0,0,0,0,0,0,0,0
10.0417816920992,0.256032991751025,0.109625300928649,-0.00145543824303434,0.10241319670041,0.0438501203714597,-0.000582175297213702,0,0,0,0,0,0,0,0,0,0,0,0
10.0517852272026,0.257129555062625,0.109609418574746,-0.00171989724060232,0.10285182202505,0.0438437674298985,-0.0006879588962409,0,0,0,0,0,0,0,0,0,0,0,0
10.061788762306,0.258225946263573,0.109590891100763,-0.00198427318110684,0.103290378505429,0.0438363564403053,-0.000793709272442746,0,0,0,0,0,0,0,0,0,0,0,0
10.0717922974094,0.259322138897684,0.109569719401436,-0.00224855329553957,0.103728855559073,0.0438278877605744,-0.000899421318215808,0,0,0,0,0,0,0,0,0,0,0,0
10.0817958325127,0.260418106518365,0.109545904499215,-0.00251272481874929,0.104167242607346,0.043818361799686,-0.00100508992749965,0,0,0,0,0,0,0,0,0,0,0,0
10.0917993676161,0.26151382268989,0.109519447544227,-0.0027767749899567,0.104605529075956,0.0438077790176909,-0.00111070999598273,0,0,0,0,0,0,0,0,0,0,0,0
10.1018029027195,0.262609260988677,0.109490349814228,-0.0030406910532696,0.105043704395471,0.043796139925691,-0.00121627642130781,0,0,0,0,0,0,0,0,0,0,0,0
10.1118064378228,0.263704395004561,0.109458612714549,-0.00330446025819545,0.105481758001825,0.0437834450858197,-0.00132178410327819,0,0,0,0,0,0,0,0,0,0,0,0
10.1218099729262,0.264799198342077,0.109424237778045,-0.00356806986015736,0.105919679336831,0.043769695111218,-0.00142722794406295,0,0,0,0,0,0,0,0,0,0,0,0
10.1318135080296,0.26589364462173,0.109387226665029,-0.00383150712100743,0.106357457848692,0.0437548906660115,-0.00153260284840299,0,0,0,0,0,0,0,0,0,0,0,0
10.141817043133,0.266987707481271,0.109347581163204,-0.00409475930954173,0.106795082992508,0.0437390324652817,-0.00163790372381671,0,0,0,0,0,0,0,0,0,0,0,0
10.1518205782363,0.268081360576971,0.109305303187597,-0.00435781370201449,0.107232544230789,0.0437221212750388,-0.00174312548080579,0,0,0,0,0,0,0,0,0,0,0,0
10.1618241133397,0.269174577584896,0.109260394780475,-0.00462065758265168,0.107669831033958,0.0437041579121901,-0.00184826303306065,0,0,0,0,0,0,0,0,0,0,0,0
10.1718276484431,0.270267332202176,0.109212858111268,-0.00488327824416668,0.10810693288087,0.043685143244507,-0.00195331129766672,0,0,0,0,0,0,0,0,0,0,0,0
10.1818311835464,0.27135959814828,0.109162695476475,-0.00514566298827406,0.108543839259312,0.0436650781905902,-0.00205826519530963,0,0,0,0,0,0,0,0,0,0,0,0
10.1918347186498,0.272451349166285,0.109109909299582,-0.00540779912620297,0.108980539666514,0.0436439637198329,-0.00216311965048121,0,0,0,0,0,0,0,0,0,0,0,0
10.2018382537532,0.273542559024146,0.109054502130952,-0.00566967397921334,0.109417023609658,0.043621800852381,-0.00226786959168537,0,0,0,0,0,0,0,0,0,0,0,0
10.2118417888566,0.274633201515966,0.108996476647732,-0.00593127487910864,0.109853280606386,0.0435985906590927,-0.00237250995164347,0,0,0,0,0,0,0,0,0,0,0,0
10.2218453239599,0.27572325046326,0.108935835653737,-0.00619258916875111,0.110289300185304,0.0435743342614948,-0.00247703566750044,0,0,0,0,0,0,0,0,0,0,0,0
10.2318488590633,0.276812679716226,0.108872582079344,-0.00645360420257568,0.110725071886491,0.0435490328317378,-0.00258144168103028,0,0,0,0,0,0,0,0,0,0,0,0
10.2418523941667,0.27790146315501,0.10880671898137,-0.00671430734710453,0.111160585262004,0.0435226875925478,-0.00268572293884181,0,0,0,0,0,0,0,0,0,0,0,0
10.25185592927,0.278989574690965,0.108738249542946,-0.00697468598146129,0.111595829876386,0.0434952998171782,-0.00278987439258454,0,0,0,0,0,0,0,0,0,0,0,0
10.2618594643734,0.280076988267922,0.108667177073394,-0.00723472749788567,0.112030795307169,0.0434668708293575,-0.00289389099915427,0,0,0,0,0,0,0,0,0,0,0,0
10.2718629994768,0.281163677863445,0.108593505008089,-0.00749441930224752,0.112465471145378,0.0434374020032358,-0.00299776772089902,0,0,0,0,0,0,0,0,0,0,0,0
10.2818665345802,0.282249617490094,0.108517236908324,-0.00775374881456107,0.112899846996038,0.0434068947633294,-0.00310149952582443,0,0,0,0,0,0,0,0,0,0,0,0
10.2918700696835,0.283334781196685,0.108438376461159,-0.00801270346949976,0.113333912478674,0.0433753505844635,-0.00320508138779991,0,0,0,0,0,0,0,0,0,0,0,0
10.3018736047869,0.284419143069544,0.10835692747928,-0.00827127071691026,0.113767657227818,0.0433427709917121,-0.00330850828676413,0,0,0,0,0,0,0,0,0,0,0,0
10.3118771398903,0.285502677233768,0.10827289390084,-0.00852943802232671,0.114201070893507,0.043309157560336,-0.00341177520893073,0,0,0,0,0,0,0,0,0,0,0,0
10.3218806749936,0.286585357854474,0.108186279789299,-0.00878719286748567,0.11463414314179,0.0432745119157196,-0.00351487714699423,0,0,0,0,0,0,0,0,0,0,0,0
10.331884210097,0.287667159138054,0.108097089333262,-0.00904452275083909,0.115066863655222,0.0432388357333047,-0.00361780910033561,0,0,0,0,0,0,0,0,0,0,0,0
10.3418877452004,0.288748055333428,0.108005326846308,-0.00930141518807051,0.115499222133371,0.0432021307385229,-0.00372056607522828,0,0,0,0,0,0,0,0,0,0,0,0
10.3518912803038,0.289828020733289,0.107910996766813,-0.00955785771260831,0.115931208293316,0.0431643987067252,-0.00382314308504334,0,0,0,0,0,0,0,0,0,0,0,0
10.3618948154071,0.290907029675355,0.107814103657776,-0.00981383787613989,0.116362811870142,0.0431256414631102,-0.00392553515045595,0,0,0,0,0,0,0,0,0,0,0,0
10.3718983505105,0.291985056543612,0.107714652206625,-0.0100693432491268,0.116794022617445,0.0430858608826498,-0.00402773729965076,0,0,0,0,0,0,0,0,0,0,0,0
10.3819018856139,0.293062075769557,0.107612647225033,-0.0103243614213182,0.117224830307823,0.0430450588900134,-0.00412974456852726,0,0,0,0,0,0,0,0,0,0,0,0
10.3919054207172,0.294138061833444,0.107508093648723,-0.0105788800022659,0.117655224733378,0.0430032374594894,-0.00423155200090636,0,0,0,0,0,0,0,0,0,0,0,0
10.4019089558206,0.295212989265519,0.107400996537263,-0.0108328866218385,0.118085195706208,0.0429603986149051,-0.00433315464873545,0,0,0,0,0,0,0,0,0,0,0,0
10.411912490924,0.296286832647261,0.107291361073861,-0.0110863689307358,0.118514733058905,0.0429165444295444,-0.00443454757229435,0,0,0,0,0,0,0,0,0,0,0,0
10.4219160260274,0.297359566612618,0.107179192565158,-0.011339314601003,0.118943826645047,0.0428716770260631,-0.00453572584040119,0,0,0,0,0,0,0,0,0,0,0,0
10.4319195611307,0.298431165849237,0.107064496441008,-0.0115917113265448,0.119372466339695,0.042825798576403,-0.00463668453061792,0,0,0,0,0,0,0,0,0,0,0,0
10.4419230962341,0.299501605099702,0.106947278254257,-0.0118435468236405,0.119800642039881,0.0427789113017028,-0.00473741872945618,0,0,0,0,0,0,0,0,0,0,0,0
10.4519266313375,0.300570859162755,0.106827543680519,-0.0120948088314577,0.120228343665102,0.0427310174722078,-0.00483792353258308,0,0,0,0,0,0,0,0,0,0,0,0
10.4619301664408,0.301638902894531,0.106705298517944,-0.0123454851125666,0.120655561157812,0.0426821194071776,-0.00493819404502674,0,0,0,0,0,0,0,0,0,0,0,0
10.4719337015442,0.302705711209775,0.106580548686978,-0.0125955634534555,0.12108228448391,0.042632219474791,-0.00503822538138215,0,0,0,0,0,0,0,0,0,0,0,0
10.4819372366476,0.303771259083073,0.106453300230123,-0.012845031665043,0.121508503633229,0.0425813200920493,-0.00513801266601719,0,0,0,0,0,0,0,0,0,0,0,0
10.491940771751,0.304835521550063,0.106323559311695,-0.0130938775831944,0.121934208620025,0.0425294237246778,-0.00523755103327778,0,0,0,0,0,0,0,0,0,0,0,0
10.5019443068543,0.305898473708657,0.106191332217562,-0.0133420890692352,0.122359389483463,0.0424765328870248,-0.00533683562769405,0,0,0,0,0,0,0,0,0,0,0,0
10.5119478419577,0.306960090720257,0.106056625354896,-0.0135896540104653,0.122784036288103,0.0424226501419584,-0.00543586160418611,0,0,0,0,0,0,0,0,0,0,0,0
10.5219513770611,0.308020347810961,0.105919445251905,-0.0138365603206736,0.123208139124384,0.0423677781007621,-0.0055346241282694,0,0,0,0,0,0,0,0,0,0,0,0
10.5319549121644,0.30907922027278,0.105779798557568,-0.0140827959406523,0.123631688109112,0.0423119194230272,-0.00563311837626089,0,0,0,0,0,0,0,0,0,0,0,0
10.5419584472678,0.310136683464839,0.105637692041361,-0.0143283488387111,0.124054673385936,0.0422550768165442,-0.00573133953548444,0,0,0,0,0,0,0,0,0,0,0,0
10.5519619823712,0.311192712814585,0.105493132592979,-0.0145732070111921,0.124477085125834,0.0421972530371916,-0.00582928280447686,0,0,0,0,0,0,0,0,0,0,0,0
10.5619655174746,0.312247283818986,0.105346127222055,-0.0148173584829834,0.124898913527594,0.0421384508888221,-0.00592694339319335,0,0,0,0,0,0,0,0,0,0,0,0
10.5719690525779,0.313300372045728,0.105196683057871,-0.0150607913080338,0.125320148818291,0.0420786732231483,-0.00602431652321349,0,0,0,0,0,0,0,0,0,0,0,0
10.5819725876813,0.314351953134414,0.105044807349061,-0.0153034935698673,0.125740781253765,0.0420179229396245,-0.00612139742794691,0,0,0,0,0,0,0,0,0,0,0,0
10.5919761227847,0.315402002797754,0.10489050746332,-0.015545453382097,0.126160801119102,0.0419562029853281,-0.00621818135283874,0,0,0,0,0,0,0,0,0,0,0,0
10.601979657888,0.316450496822757,0.104733790887094,-0.01578665888894,0.126580198729103,0.0418935163548374,-0.00631466355557594,0,0,0,0,0,0,0,0,0,0,0,0
10.6119831929914,0.317497411071914,0.104574665225273,-0.0160270982657315,0.126998964428765,0.041829866090109,-0.0064108393062925,0,0,0,0,0,0,0,0,0,0,0,0
10.6219867280948,0.318542721484381,0.104413138200878,-0.0162667597194387,0.127417088593753,0.0417652552803512,-0.00650670388777552,0,0,0,0,0,0,0,0,0,0,0,0
10.6319902631982,0.319586404077166,0.104249217654743,-0.0165056314891764,0.127834561630866,0.0416996870618974,-0.00660225259567049,0,0,0,0,0,0,0,0,0,0,0,0
10.6419937983015,0.320628434946296,0.104082911545189,-0.0167437018467196,0.128251373978518,0.0416331646180757,-0.00669748073868781,0,0,0,0,0,0,0,0,0,0,0,0
10.6519973334049,0.321668790267998,0.103914227947695,-0.0169809590970194,0.128667516107199,0.0415656911790779,-0.00679238363880772,0,0,0,0,0,0,0,0,0,0,0,0
10.6620008685083,0.322707446299868,0.103743175054562,-0.0172173915787165,0.129082978519947,0.0414972700218248,-0.0068869566314866,0,0,0,0,0,0,0,0,0,0,0,0
10.6720044036116,0.323744379382034,0.103569761174578,-0.0174529876646557,0.129497751752814,0.041427904469831,-0.00698119506586226,0,0,0,0,0,0,0,0,0,0,0,0
10.682007938715,0.324779565938325,0.103393994732668,-0.0176877357624007,0.12991182637533,0.0413575978930673,-0.00707509430496027,0,0,0,0,0,0,0,0,0,0,0,0
