t,x,vx,ax,y,vy,ay,z,vz,az,roll,wx,alphax,pitch,wy,alphay,yaw,wz,alphaz
8.94106601580718,0.0260637287706458,0.022126529592543,0.0118646871399558,0.0104254915082583,0.00885061183701721,0.0047458748559823,0,0,0,0,0,0,0,0,0,0,0,0
8.95106872143105,0.0262856477733004,0.0222452940351746,0.0118817439144389,0.0105142591093201,0.00889811761406984,0.00475269756577555,0,0,0,0,0,0,0,0,0,0,0,0
8.96107142705493,0.0265087555917528,0.0223642281136285,0.0118986050630316,0.0106035022367011,0.00894569124545141,0.00475944202521265,0,0,0,0,0,0,0,0,0,0,0,0
8.97107413267881,0.0267330539130274,0.0224833298691907,0.0119152702015116,0.0106932215652109,0.00899333194767629,0.00476610808060465,0,0,0,0,0,0,0,0,0,0,0,0
8.98107683830268,0.0269585444045366,0.0226025973393295,0.011931738950796,0.0107834177618147,0.00904103893573181,0.0047726955803184,0,0,0,0,0,0,0,0,0,0,0,0
8.99107954392656,0.0271852287140437,0.022722028557747,0.0119480109369307,0.0108740914856175,0.00908881142309881,0.00477920437477226,0,0,0,0,0,0,0,0,0,0,0,0
9.00108224955044,0.0274131084696247,0.0228416215544305,0.011964085791079,0.0109652433878499,0.00913664862177219,0.00478563431643158,0,0,0,0,0,0,0,0,0,0,0,0
9.01108495517431,0.0276421852796321,0.0229613743557032,0.011979963149511,0.0110568741118528,0.00918454974228129,0.00479198525980441,0,0,0,0,0,0,0,0,0,0,0,0
9.02108766079819,0.0278724607326579,0.0230812849842759,0.0119956426535926,0.0111489842930632,0.00923251399371035,0.00479825706143703,0,0,0,0,0,0,0,0,0,0,0,0
9.03109036642206,0.0281039363974982,0.0232013514592971,0.012011123949774,0.0112415745589993,0.00928054058371884,0.00480444957990959,0,0,0,0,0,0,0,0,0,0,0,0
9.04109307204594,0.0283366138231175,0.0233215717964046,0.0120264066895793,0.011334645529247,0.00932862871856183,0.00481056267583171,0,0,0,0,0,0,0,0,0,0,0,0
9.05109577766981,0.0285704945386142,0.0234419440077756,0.0120414905295952,0.0114281978154457,0.00937677760311024,0.00481659621183806,0,0,0,0,0,0,0,0,0,0,0,0
9.06109848329369,0.0288055800531855,0.0235624661021776,0.01205637513146,0.0115222320212742,0.00942498644087105,0.00482255005258398,0,0,0,0,0,0,0,0,0,0,0,0
9.07110118891757,0.0290418718560946,0.0236831360850189,0.0120710601618527,0.0116167487424379,0.00947325443400754,0.00482842406474108,0,0,0,0,0,0,0,0,0,0,0,0
