t,x,vx,ax,y,vy,ay,z,vz,az,roll,wx,alphax,pitch,wy,alphay,yaw,wz,alphaz

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.010001891405737,4.30719754455999e-12,1.72166676848517e-09,5.15959363965132e-07,9.73565113392165e-12,3.89117237464691e-09,1.16595576200646e-06,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.020003782811474,6.87734184013894e-11,1.37379226125974e-08,2.05676168833744e-06,1.55394407592661e-10,3.10354429425042e-08,4.64505402550109e-06,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.030005674217211,3.47449030499047e-10,4.62462088280918e-08,4.61183228791784e-06,7.84783928730318e-10,1.04428244158426e-07,1.04092509237102e-05,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.040007565622948,1.09585003314091e-09,1.09338459323882e-07,8.17064834214891e-06,2.47430940338901e-09,2.46785247014528e-07,1.84306485588551e-05,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.050009457028685,2.66990537591402e-09,2.13001618803079e-07,1.27227387824411e-05,6.02618270205275e-09,4.80543819420366e-07,2.86814946850409e-05,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.060011348434422,5.52490945475258e-09,3.67118159817076e-07,1.82576841794991e-05,1.24656460996999e-08,8.27864481411403e-07,4.11341823911447e-05,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.070013239840159,1.02144797738845e-08,5.81466598692689e-07,2.47651166306477e-05,2.30382105376311e-08,1.31063235718576e-06,5.57612497837036e-05,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.080015131245896,1.73895197623892e-08,8.65722010332339e-07,3.22347196471584e-05,3.92069083925497e-08,1.95045862396923e-06,7.25353796698038e-05,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.090017022651633,2.77971867340953e-08,1.22945654188729e-06,4.06562280415753e-05,6.26495607211707e-08,2.76868195770864e-06,9.14293992399686e-05,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.10001891405737,4.22798649795463e-08,1.68213992530392e-06,5.00194278150415e-05,9.52560589486366e-08,3.78636997559339e-06,0.000112416279751047,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.110020805463107,6.17741439787628e-08,2.23313998874307e-06,6.03141560446252e-05,1.39125660969015e-07,5.0243206754054e-06,0.000135469136209101,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.120022696868844,8.73098017235293e-08,2.89172316687242e-06,7.1530300770646e-05,1.96564301626158e-07,6.50306387169723e-06,0.000160561227052295,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.130024588274581,1.20008793137934e-07,3.66705501003192e-06,8.36578008840011e-05,2.70081917543194e-07,8.24286262879856e-06,0.000187665953833787,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.140026479680318,1.61084243585892e-07,4.56820069227226e-06,9.66866460134915e-05,3.62389786268936e-07,1.02637146906509e-05,0.00021675686090461,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.150028371086055,2.11839447454374e-07,5.6041255182664e-06,0.000110606876413148,4.76397879709484e-07,1.25853539074707e-05,0.000247807635096567,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.160030262491792,2.73666871801079e-07,6.78369542909416e-06,0.000125408582849558,6.15212231813284e-07,1.52272516592405e-05,0.000280792105405115,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.170032153897529,3.48047165055268e-07,8.11567750689984e-06,0.000141081906489191,7.82132320477937e-07,1.82086182760288e-05,0.000315684242672258,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.180034045303266,4.36548170760499e-07,9.60874047842289e-06,0.000157617038785724,9.80648463647034e-07,2.15484044551373e-05,0.00035245815926943,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.190035936709003,5.40823946347975e-07,1.12714552174016e-05,0.000175004221367372,1.21443922956528e-06,2.52653026750781e-05,0.000391088108780388,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.20003782811474,6.6261378692926e-07,1.31122952458501e-05,0.000193233745924208,1.48736886116019e-06,2.9377748606377e-05,0.000431548485684096,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.210039719520477,8.03741254097055e-07,1.51396372342076e-05,0.000212295954095493,1.80348471451865e-06,3.39039225192072e-05,0.000473813825037619,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.220041610926214,9.661132097228e-07,1.73617615003621e-05,0.000232181237357001,2.1670147114266e-06,3.88617506878496e-05,0.000517858802159006,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.230043502331951,1.1517188547398e-06,1.97868525075456e-05,0.000252880036908349,2.58236480594012e-06,4.42689067919825e-05,0.000563658232310182,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.240045393737688,1.36262877290063e-06,2.24229993611033e-05,0.000274382843560315,3.05411646495616e-06,5.0142813314799e-05,0.000611187070379833,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.250047285143425,1.60099397949752e-06,2.52781963041359e-05,0.000296680197622172,3.58702416275134e-06,5.6500642937953e-05,0.000660420410566298,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.260049176549162,1.86904497503445e-06,2.83603432120141e-05,0.00031976268878901,4.18601288945684e-06,6.33593199333331e-05,0.000711333486060456,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.270051067954899,2.16909080383975e-06,3.16772460857674e-05,0.000343620956029065,4.85617567343793e-06,7.07355215516653e-05,0.000763901668728613,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.280052959360636,2.50351811760781e-06,3.52366175443445e-05,0.000368245687471043,5.60277111754618e-06,7.86456794079437e-05,0.000818100468795392,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
0.290054850766373,2.87479024385874e-06,3.90460773157482e-05,0.000393627620291446,6.43122094921283e-06,8.71059808636894e-05,0.000873905534526622,0,0,0,0,0,0,0,0,0,1.14041924663837,0,0
