t,x,vx,ax,y,vy,ay,z,vz,az,roll,wx,alphax,pitch,wy,alphay,yaw,wz,alphaz
36.777123799308,0.117910283040158,-0.0861435032187527,-0.00412765991927107,-0.114584813913196,0.0787843781947374,0.0147915651212215,0,0,0,0,0,0,0,0,0,-4.66779829710939,-0.0696378268636381,0.061480358140357
36.7871228942731,0.117048720119638,-0.0861846277273913,-0.00409798207328197,-0.11379630365336,0.0789317811484262,0.0146916555379815,0,0,0,0,0,0,0,0,0,-4.66849154268739,-0.0690242147897671,0.0612543212190747
36.7971219892383,0.116186747475291,-0.0862254553591932,-0.00406827920740606,-0.113006324495801,0.079078183946846,0.0145915162147872,0,0,0,0,0,0,0,0,0,-4.66917866396256,-0.0684128517255492,0.0610305090246353
36.8071210842035,0.115324368076866,-0.0862659858648714,-0.00403855149952036,-0.112214886452627,0.0792235843003875,0.0144911486690077,0,0,0,0,0,0,0,0,0,-4.66985968331194,-0.0678037154873879,0.0608089092757074
36.8171201791686,0.114461584896593,-0.0863062189969185,-0.00400879912773018,-0.111421999558763,0.0793679799346368,0.0143905544226237,0,0,0,0,0,0,0,0,0,-4.67053462289139,-0.0671967840140082,0.0605895097866587
36.8271192741338,0.113598400909171,-0.0863461545096092,-0.00397902227036783,-0.1106276738718,0.0795113685904213,0.0142897350021985,0,0,0,0,0,0,0,0,0,-4.67120350463677,-0.0665920353655035,0.0603722984679836
36.837118369099,0.112734819091744,-0.0863857921590023,-0.00394922110599083,-0.109831919471842,0.0796537480238555,0.0141886919388478,0,0,0,0,0,0,0,0,0,-4.67186635026517,-0.0659894477223674,0.0601572633267046
36.8471174640641,0.111870842423888,-0.0864251317029434,-0.0039193958133804,-0.109034746461355,0.0797951160063863,0.01408742676821,0,0,0,0,0,0,0,0,0,-4.67252318127608,-0.0653889993845304,0.0599443924667492
36.8571165590293,0.11100647388759,-0.0864641729010669,-0.00388954657153978,-0.108236164965009,0.0799354703248381,0.0139859410304163,0,0,0,0,0,0,0,0,0,-4.67317401895264,-0.0647906687703862,0.0597336740892955
36.8671156539945,0.110141716467234,-0.0865029155147978,-0.00385967355969266,-0.107436185129529,0.0800748087814574,0.0138842362700606,0,0,0,0,0,0,0,0,0,-4.67381888436275,-0.0641944344158195,0.059525096493092
36.8771147489596,0.109276573149578,-0.0865413593073546,-0.00382977695728155,-0.106634817123537,0.0802131291939578,0.0137823140361691,0,0,0,0,0,0,0,0,0,-4.67445779836029,-0.0636002749732281,0.0593186480747627
36.8871138439248,0.10841104692374,-0.086579504043751,-0.00379985694396618,-0.105832071137399,0.0803504293955632,0.0136801758821706,0,0,0,0,0,0,0,0,0,-4.67509078158626,-0.0630081692105435,0.0591143173290784
36.89711293889,0.107545140781177,-0.0866173494907983,-0.0037699136996218,-0.105027957383067,0.080486707235053,0.013577823365865,0,0,0,0,0,0,0,0,0,-4.67571785446991,-0.0624180960102456,0.0589120928492114
36.9071120338552,0.106678857715672,-0.0866548954171076,-0.0037399474043377,-0.104222486093929,0.0806219605768044,0.0134752580493941,0,0,0,0,0,0,0,0,0,-4.67633903722993,-0.0618300343683822,0.0587119633269664
36.9171111288203,0.10581220072331,-0.0866921415930912,-0.00370995823841547,-0.103415667524647,0.0807561873008359,0.01337248149921,0,0,0,0,0,0,0,0,0,-4.67695434987555,-0.0612439633935781,0.0585139175529851
