t,x,vx,ax,y,vy,ay,z,vz,az,roll,wx,alphax,pitch,wy,alphay,yaw,wz,alphaz
88.5777840070913,-0.000349100459340029,0.000536435308697581,-0.000543069056895763,-0.000349100374249483,0.000536434916441635,-0.000543067454290876,0,0,0,0,0,0,0,0,0,-3.6561360006182e-07,1.12362015411214e-06,-2.86409817243185e-06
88.5877837419569,-0.000343763356886161,0.000531017844202357,-0.000540452233279246,-0.000343763275638888,0.000531017467689671,-0.000540450686864252,0,0,0,0,0,0,0,0,0,-3.54519932077579e-07,1.09526806816258e-06,-2.80661257748015e-06
88.5977834768226,-0.000338480296782853,0.00052562655735377,-0.000537833388625753,-0.000338480219224205,0.000525626196030927,-0.000537831896713989,0,0,0,0,0,0,0,0,0,-3.437069177048e-07,1.06748654025383e-06,-2.74998218346578e-06
88.6077832116882,-0.000333251017145408,0.000520261468364327,-0.000535212522454496,-0.00033325094312619,0.000520261121694567,-0.000535211083401272,0,0,0,0,0,0,0,0,0,-3.33168893917879e-07,1.04026705934625e-06,-2.69419883794557e-06
88.6177829465539,-0.000328075255905669,0.000514922597450836,-0.000532589634284402,-0.000328075185281968,0.000514922264913638,-0.000532588246486179,0,0,0,0,0,0,0,0,0,-3.22900282734295e-07,1.01360119582309e-06,-2.6392544200414e-06
88.6277826814195,-0.000322952750780927,0.00050960996483558,-0.000529964723634132,-0.000322952683413958,0.000509609645926258,-0.000529963385527707,0,0,0,0,0,0,0,0,0,-3.12895589993367e-07,9.87480601079294e-07,-2.58514084045508e-06
88.6377824162852,-0.000317883239308565,0.000504323590744756,-0.000527337790022057,-0.000317883175064512,0.000504323284974057,-0.000527336500083763,0,0,0,0,0,0,0,0,0,-3.0314940435705e-07,9.61897007308696e-07,-2.53185004167675e-06
88.6477821511508,-0.000312866458803873,0.000499063495410568,-0.000524708832966313,-0.000312866397553737,0.000499063202304278,-0.000524707589711229,0,0,0,0,0,0,0,0,0,-2.93656397198916e-07,9.36842227060592e-07,-2.47937399797106e-06
88.6577818860165,-0.000307902146375587,0.000493829699068351,-0.00052207785198476,-0.000307902087995037,0.000493829418166917,-0.000522076653965933,0,0,0,0,0,0,0,0,0,-2.84411320938815e-07,9.12308152964757e-07,-2.427704715518e-06
88.6677816208821,-0.000302990038955206,0.000488622221960106,-0.000519444846595027,-0.000302989983324434,0.000488621952818256,-0.000519443692402704,0,0,0,0,0,0,0,0,0,-2.75409009042882e-07,8.88286757504908e-07,-2.37683423263393e-06
88.6777813557477,-0.000298129873241921,0.000483441084331364,-0.000516809816314459,-0.000298129820245503,0.000483440826517741,-0.000516808704575335,0,0,0,0,0,0,0,0,0,-2.66644374580238e-07,8.64770092528326e-07,-2.32675461968834e-06
88.6877810906134,-0.000293321385759908,0.000478286306433017,-0.000514172760660155,-0.000293321335286664,0.000478286059529819,-0.000514171690036625,0,0,0,0,0,0,0,0,0,-2.58112409667888e-07,8.4175028909637e-07,-2.27745797940219e-06
88.697780825479,-0.000288564312805479,0.000473157908520541,-0.000511533679148998,-0.000288564264748342,0.000473157672123163,-0.000511532648338424,0,0,0,0,0,0,0,0,0,-2.49808184915601e-07,8.19219557005747e-07,-2.22893644678766e-06
88.7077805603447,-0.000283858390485722,0.000468055910854646,-0.000508892571297613,-0.000283858344741606,0.000468055684571341,-0.000508891579031604,0,0,0,0,0,0,0,0,0,-2.41726848426715e-07,7.97170184577951e-07,-2.18118218938042e-06
88.7177802952103,-0.000279203354714059,0.0004629803337005,-0.000506249436622393,-0.000279203311183732,0.000462980117152032,-0.000506248481666092,0,0,0,0,0,0,0,0,0,-2.33863624909958e-07,7.75594538318316e-07,-2.13418740732948e-06
88.727780030076,-0.000274598941183602,0.000457931197328117,-0.00050360427463947,-0.000274598899771564,0.000457930990147437,-0.00050360335579085,0,0,0,0,0,0,0,0,0,-2.26213815124332e-07,7.54485062515861e-07,-2.08794433342712e-06
88.7377797649416,-0.000270044885398242,0.000452908522012235,-0.000500957084864778,-0.000270044846012603,0.000452908323844152,-0.000500956200953956,0,0,0,0,0,0,0,0,0,-2.18772794879918e-07,7.33834279002857e-07,-2.04244523331235e-06
88.7477794998073,-0.000265540922640675,0.000447912328033229,-0.000498307866814014,-0.000265540885193039,0.000447912138534091,-0.000498307016702572,0,0,0,0,0,0,0,0,0,-2.11536014371738e-07,7.13634786739863e-07,-1.99768240548825e-06
88.7577792346729,-0.000261086788013258,0.000442942635675545,-0.000495656620002666,-0.000261086752418609,0.000442942454512932,-0.000495655802582977,0,0,0,0,0,0,0,0,0,-2.04498997624647e-07,6.93879261594949e-07,-1.95364818154582e-06
88.7677789695386,-0.000256682216402038,0.00043799946522836,-0.00049300334394597,-0.00025668218257863,0.000437999292080775,-0.000493002558140544,0,0,0,0,0,0,0,0,0,-1.97657341383106e-07,6.74560455916264e-07,-1.91033492616891e-06
88.7777787044042,-0.000252326942493634,0.000433082836986102,-0.000490348038158989,-0.000252326910362881,0.000433082671542674,-0.000490347282919821,0,0,0,0,0,0,0,0,0,-1.91006714445052e-07,6.55671198246943e-07,-1.86773503729749e-06
88.7877784392699,-0.000248020700772566,0.000428192771248582,-0.000487690702156529,-0.000248020670258941,0.000428192613208777,-0.000487689976464463,0,0,0,0,0,0,0,0,0,-1.84542856995762e-07,6.3720439298504e-07,-1.82584094622982e-06
88.7977781741355,-0.000243763225520373,0.000423329288319175,-0.000485031335453214,-0.000243763196551301,0.000423329137392506,-0.000485030638317312,0,0,0,0,0,0,0,0,0,-1.78261579719674e-07,6.19153020044459e-07,-1.78464511772037e-06
88.8077779090012,-0.000239554250808506,0.000418492408506902,-0.000482369937563446,-0.000239554223314269,0.000418492264412655,-0.000482369268020375,0,0,0,0,0,0,0,0,0,-1.721587633563e-07,6.01510134505232e-07,-1.74414005008011e-06
88.8177776438668,-0.000235393510521866,0.000413682152125655,-0.000479706508001447,-0.000235393484435507,0.000413682014592614,-0.000479705865114862,0,0,0,0,0,0,0,0,0,-1.66230357367958e-07,5.84268866335605e-07,-1.70431827535104e-06
88.8277773787325,-0.000231280738322392,0.000408898539493936,-0.000477041046281217,-0.000231280713579617,0.000408898408260114,-0.000477040429141169,0,0,0,0,0,0,0,0,0,-1.60472379717724e-07,5.67422419962691e-07,-1.66517235930958e-06
88.8377771135981,-0.000227215667682365,0.000404141590935251,-0.000474373551916561,-0.000227215644221455,0.00040414146574763,-0.000474372959638906,0,0,0,0,0,0,0,0,0,-1.54880916203304e-07,5.50964074018293e-07,-1.6266949016755e-06
88.8477768484638,-0.000223198031860873,0.00039941132677798,-0.000471704024421104,-0.000223198009622598,0.000399411207392259,-0.000471703456146923,0,0,0,0,0,0,0,0,0,-1.49452119013738e-07,5.34887180940911e-07,-1.5888785361542e-06
88.8577765833294,-0.000219227563919801,0.00039470776735538,-0.00046903246330828,-0.000219227542847329,0.000394707653535723,-0.00046903191820331,0,0,0,0,0,0,0,0,0,-1.44182206729404e-07,5.19185166674442e-07,-1.55171593059318e-06
88.8677763181951,-0.000215303996728272,0.000390030933005197,-0.000466358868091324,-0.000215303976767088,0.000390030824523987,-0.000466358345345397,0,0,0,0,0,0,0,0,0,-1.39067463100773e-07,5.03851530335526e-07,-1.51519978710315e-06
88.8777760530607,-0.000211427062932448,0.000385380844070577,-0.000463683238283281,-0.000211427044030274,0.000385380740708183,-0.000463682737109771,0,0,0,0,0,0,0,0,0,-1.3410423682636e-07,4.88879843800667e-07,-1.47932284208844e-06
88.8877757879264,-0.000207596494985286,0.000380757520899813,-0.000461005573397071,-0.000207596477092001,0.000380757422444353,-0.000461005093032356,0,0,0,0,0,0,0,0,0,-1.29288940220462e-07,4.74263751432646e-07,-1.44407786644086e-06
88.897775522792,-0.000203812025133661,0.000376160983844512,-0.000458325872945345,-0.000203812008201225,0.000376160890091628,-0.000458325412648268,0,0,0,0,0,0,0,0,0,-1.2461804899111e-07,4.59996969702766e-07,-1.40945766560623e-06
88.9077752576577,-0.000200073385423694,0.000371591253263389,-0.000455644136440657,-0.000200073369406074,0.000371591164016024,-0.000455643695492008,0,0,0,0,0,0,0,0,0,-1.20088101018823e-07,4.4607328686168e-07,-1.37545507972817e-06
88.9177749925233,-0.000196380307688765,0.000367048349517957,-0.000452960363395335,-0.000196380292541862,0.000367048264586138,-0.000452959941097333,0,0,0,0,0,0,0,0,0,-1.15695696578655e-07,4.32486562560044e-07,-1.3420629837071e-06
88.927774727389,-0.000192732523586812,0.000362532292975925,-0.000450274553321595,-0.000192732509268394,0.000362532212176552,-0.000450274148997383,0,0,0,0,0,0,0,0,0,-1.11437496230771e-07,4.19230727586701e-07,-1.30927428742899e-06
88.9377744622546,-0.000189129764511078,0.000358043104009369,-0.000447586705731443,-0.000189129750980709,0.000358043027166008,-0.000447586318724587,0,0,0,0,0,0,0,0,0,-1.07310221264534e-07,4.06299783321426e-07,-1.27708193562688e-06
88.9477741971203,-0.000185571761734433,0.000353580802995782,-0.000444896820136721,-0.000185571748953408,0.000353580729938463,-0.000444896449810728,0,0,0,0,0,0,0,0,0,-1.03310652810329e-07,3.93687801699943e-07,-1.24547890838769e-06
88.9577739319859,-0.000182058246264604,0.000349145410316506,-0.000442204896049143,-0.000182058234195888,0.000349145340881525,-0.000442204541786974,0,0,0,0,0,0,0,0,0,-9.94356305072941e-08,3.81388924546006e-07,-1.21445822086691e-06
88.9677736668516,-0.000178588948908127,0.000344736946358563,-0.000439510932980241,-0.00017858893751629,0.000344736880388292,-0.000439510594183844,0,0,0,0,0,0,0,0,0,-9.56820521702539e-08,3.69397363361094e-07,-1.18401292358218e-06
88.9777734017172,-0.000175163600307203,0.000340355431513872,-0.000436814930441399,-0.000175163589558363,0.00034035536885657,-0.000436814606531242,0,0,0,0,0,0,0,0,0,-9.20468737897195e-08,3.57707399044436e-07,-1.15413610261872e-06
88.9877731365829,-0.00017178193085577,0.000336000886178336,-0.000434116887943836,-0.000171781920717533,0.000336000826687968,-0.000434116578358453,0,0,0,0,0,0,0,0,0,-8.85271074224647e-08,3.4631338136259e-07,-1.12482087951639e-06
88.9977728714485,-0.000168443670783433,0.00033167333075472,-0.000431416804998666,-0.000168443661224837,0.000331673274290775,-0.000431416509194213,0,0,0,0,0,0,0,0,0,-8.51198219686822e-08,3.35209728769048e-07,-1.09606041161495e-06
89.0077726063142,-0.00016514855009285,0.000327372785648469,-0.000428714681116795,-0.000165148541084312,0.000327372732075789,-0.000428714398566605,0,0,0,0,0,0,0,0,0,-8.1822141173582e-08,3.24390927914427e-07,-1.06784789198555e-06
89.0177723411798,-0.000161896298578382,0.000323099271271239,-0.000426010515809033,-0.000161896290091644,0.000323099220459847,-0.000426010246003193,0,0,0,0,0,0,0,0,0,-7.86312440714809e-08,3.1385153333077e-07,-1.04017654960761e-06
89.0277720760455,-0.000158686645823876,0.000318852808038674,-0.000423304308586033,-0.000158686637831956,0.000318852759863613,-0.000423304051030954,0,0,0,0,0,0,0,0,0,-7.55443635425124e-08,3.03586167065994e-07,-1.01303964946767e-06
89.0377718109111,-0.000155519321249738,0.000314633416372373,-0.000420596058958302,-0.000155519313726877,0.000314633370713539,-0.000420595813176308,0,0,0,0,0,0,0,0,0,-7.25587859795596e-08,2.93589518414736e-07,-9.86430492799629e-07
89.0477715457767,-0.000152394054036105,0.000310441116697795,-0.000417885766436219,-0.000152394046957722,0.000310441073439784,-0.000417885531965138,0,0,0,0,0,0,0,0,0,-6.96718506221217e-08,2.83856343406238e-07,-9.60342416994132e-07
89.0577712806424,-0.000149310573167256,0.000306275929446224,-0.000415173430530021,-0.000149310566509902,0.000306275888478177,-0.000415173206922785,0,0,0,0,0,0,0,0,0,-6.68809487791577e-08,2.74381464529356e-07,-9.34768795833007e-07
89.067771015508,-0.000146268607418733,0.00030213787505333,-0.000412459050749841,-0.000146268601160044,0.000302137836268786,-0.000412458837574096,0,0,0,0,0,0,0,0,0,-6.41835228298859e-08,2.65159770342678e-07,-9.09703039565049e-07
89.0777707503737,-0.000143267885370663,0.000298026973959958,-0.000409742626605652,-0.00014326787948932,0.000298026937256706,-0.000409742423443371,0,0,0,0,0,0,0,0,0,-6.15770667788951e-08,2.56186215134345e-07,-8.85138595055741e-07
89.0877704852393,-0.000140308135396216,0.000293943246611081,-0.000407024157607327,-0.000140308129871899,0.000293943211891022,-0.000407023964054433,0,0,0,0,0,0,0,0,0,-5.90591240356986e-08,2.47455818533266e-07,-8.61068945868513e-07
89.097770220105,-0.000137389085662489,0.000289886713457371,-0.000404303643264588,-0.000137389080475842,0.000289886680626376,-0.000404303458930586,0,0,0,0,0,0,0,0,0,-5.66272875257567e-08,2.38963665144799e-07,-8.37487612386801e-07
