t,x,vx,ax,y,vy,ay,z,vz,az,roll,wx,alphax,pitch,wy,alphay,yaw,wz,alphaz
48.3679945590296,0.418591121448477,-0.0289742525832574,-0.00509092143730712,-0.228937542141261,-0.0212833111792494,0.00999256983046738,0,0,0,0,0,0,0,0,0,-3.29344511480189,-0.307839859026229,-0.0595979957003253
48.3779940966268,0.418301137827187,-0.0290251506488366,-0.0050891606754257,-0.229149865595724,-0.021183320042449,0.0100065750221922,0,0,0,0,0,0,0,0,0,-3.29652634472126,-0.308434018986549,-0.0592364389055437
48.387993634224,0.418010645336982,-0.0290760310556204,-0.00508738951475427,-0.229361188485588,-0.0210831890786111,0.010020536511278,0,0,0,0,0,0,0,0,0,-3.29961349778554,-0.30902453240871,-0.0588686521507125
48.3979931718212,0.417719644154959,-0.02912689369962,-0.00508560795404274,-0.229571509414834,-0.020982918725339,0.0100344541782376,0,0,0,0,0,0,0,0,0,-3.3027065372195,-0.309611336967114,-0.0584946302728589
48.4079927094184,0.417428134459257,-0.0291777384768334,-0.00508381599207166,-0.229780826991826,-0.0208825094214303,0.0100483279037867,0,0,0,0,0,0,0,0,0,-3.30580542562439,-0.310194370290693,-0.0581143693505301
48.4179922470156,0.417136116429058,-0.0292285652832467,-0.00508201362765225,-0.22998913982932,-0.0207819616068747,0.010062157568846,0,0,0,0,0,0,0,0,0,-3.30891012497762,-0.310773569975422,-0.0577278667204455
48.4279917846128,0.41684359024458,-0.0292793740148346,-0.00508020085962636,-0.230196446544479,-0.020681275722851,0.0100759430545416,0,0,0,0,0,0,0,0,0,-3.31202059663248,-0.311348873596974,-0.0573351209937665
48.43799132221,0.416550556087084,-0.0293301645675601,-0.00507837768686653,-0.230402745758881,-0.020580452211726,0.0100896842422068,0,0,0,0,0,0,0,0,0,-3.315136801318,-0.311920218723549,-0.056936132072037
48.4479908598072,0.41625701413887,-0.0293809368373752,-0.00507654410827603,-0.230608036098538,-0.0204794915170517,0.0101033810133826,0,0,0,0,0,0,0,0,0,-3.31825869913893,-0.312487542928854,-0.0565309011627993
48.4579903974044,0.415962964583279,-0.0294316907202211,-0.00507470012278884,-0.230812316193899,-0.020378394083564,0.0101170332498193,0,0,0,0,0,0,0,0,0,-3.32138624957587,-0.313050783805241,-0.056119430794857
48.4679899350015,0.415668407604693,-0.0294824261120283,-0.00507284572936975,-0.231015584679867,-0.0202771603571802,0.0101306408334776,0,0,0,0,0,0,0,0,0,-3.32451941148553,-0.31360987897699,-0.0557017248331641
48.4779894725987,0.415373343388533,-0.0295331429087174,-0.00507098092701427,-0.231217840195812,-0.0201757907849965,0.0101442036465294,0,0,0,0,0,0,0,0,0,-3.3276581431011,-0.314164766113752,-0.0552777884932712
48.4879890101959,0.415077772121262,-0.0295838410061989,-0.00506910571474874,-0.231419081385578,-0.0200742858152865,0.0101577215713594,0,0,0,0,0,0,0,0,0,-3.33080240203276,-0.314715382944115,-0.0548476283554807
48.4979885477931,0.414781693990385,-0.0296345203003737,-0.00506722009163032,-0.231619306897499,-0.0199726458974989,0.0101711944905659,0,0,0,0,0,0,0,0,0,-3.3339521452684,-0.315261667269331,-0.0544112523784855
48.5079880853903,0.414485109184447,-0.0296851806871336,-0.00506532405674704,-0.231818515384409,-0.0198708714822554,0.0101846222869621,0,0,0,0,0,0,0,0,0,-3.33710732917433,-0.315803556977157,-0.0539686699126017
48.5179876229875,0.414188017893033,-0.0297358220623614,-0.00506341760921778,-0.232016705503653,-0.0197689630213479,0.0101980048435773,0,0,0,0,0,0,0,0,0,-3.34026790949629,-0.316340990055843,-0.0535198917125844
48.5279871605847,0.413890420306771,-0.0297864443219309,-0.00506150074819231,-0.232213875917099,-0.0196669209677375,0.0102113420436578,0,0,0,0,0,0,0,0,0,-3.34343384136045,-0.316873904608234,-0.0530649299499468
48.5379866981819,0.413592316617329,-0.0298370473617081,-0.0050595734728513,-0.232410025291154,-0.0195647457755511,0.0102246337706682,0,0,0,0,0,0,0,0,0,-3.34660507927473,-0.317402238866001,-0.0526037982248498
48.5479862357791,0.413293707017416,-0.0298876310775506,-0.0050576357824064,-0.232605152296766,-0.0194624379000804,0.0102378799082927,0,0,0,0,0,0,0,0,0,-3.34978157713004,-0.317925931203982,-0.0521365115774344
48.5579857733763,0.412994591700784,-0.0299381953653083,-0.00505568767610018,-0.232799255609448,-0.0193599977977786,0.0102510803404358,0,0,0,0,0,0,0,0,0,-3.35296328820187,-0.318444920154637,-0.0516630864987118
48.5679853109735,0.412694970862225,-0.0299887401208239,-0.0050537291532062,-0.232992333909277,-0.0192574259262591,0.0102642349512238,0,0,0,0,0,0,0,0,0,-3.35615016515192,-0.318959144422612,-0.0511835409409078
48.5779848485707,0.412394844697574,-0.0300392652399327,-0.00505176021302903,-0.233184385880916,-0.0191547227442925,0.010277343625006,0,0,0,0,0,0,0,0,0,-3.35934216002987,-0.319468542899396,-0.0506978943273028
48.5879843861679,0.412094213403706,-0.0300897706184634,-0.00504978085490425,-0.233375410213619,-0.0190518887118051,0.0102904062463552,0,0,0,0,0,0,0,0,0,-3.36253922427534,-0.319973054678085,-0.0502061675614848
48.5979839237651,0.41179307717854,-0.0301402561522381,-0.00504779107819848,-0.233565405601247,-0.0189489242898758,0.0103034227000699,0,0,0,0,0,0,0,0,0,-3.36574130871999,-0.320472619068223,-0.0497083830360766
48.6079834613623,0.411491436221033,-0.0301907217370728,-0.00504579088230942,-0.233754370742274,-0.0188458299407351,0.0103163928711743,0,0,0,0,0,0,0,0,0,-3.36894836358974,-0.320967175610737,-0.0492045646408839
48.6179829989595,0.411189290731188,-0.0302411672687777,-0.00504378026666585,-0.233942304339806,-0.0187426061277612,0.0103293166449202,0,0,0,0,0,0,0,0,0,-3.37216033850718,-0.321456664092949,-0.0486947377704732
48.6279825365566,0.410886640910047,-0.0302915926431571,-0.00504175923072765,-0.234129205101584,-0.0186392533154792,0.0103421939067879,0,0,0,0,0,0,0,0,0,-3.37537718249406,-0.321941024563655,-0.0481789293311296
48.6379820741538,0.410583486959695,-0.0303419977560105,-0.00503972777398582,-0.234315071740004,-0.0185357719695579,0.0103550245424871,0,0,0,0,0,0,0,0,0,-3.37859884397406,-0.32242019734828,-0.0476571677472248
48.647981611751,0.410279829083259,-0.0303923825031323,-0.00503768589596252,-0.23449990297212,-0.0184321625568078,0.0103678084379586,0,0,0,0,0,0,0,0,0,-3.38182527077557,-0.322894123064082,-0.0471294829669641
48.6579811493482,0.409975667484908,-0.0304427467803121,-0.00503563359621107,-0.234683697519662,-0.018328425545179,0.0103805454793747,0,0,0,0,0,0,0,0,0,-3.38505641013468,-0.323362742635425,-0.0465959064674817
48.6679806869454,0.409671002369853,-0.0304930904833355,-0.00503357087431601,-0.234866454109046,-0.0182245614037587,0.0103932355531409,0,0,0,0,0,0,0,0,0,-3.38829220869839,-0.323825997309083,-0.0460564712593231
48.6779802245426,0.409365833944348,-0.0305434135079837,-0.00503149772989304,-0.235048171471382,-0.0181205706027684,0.0104058785458967,0,0,0,0,0,0,0,0,0,-3.39153261252785,-0.324283828669599,-0.0455112118902557
48.6879797621398,0.409060162415686,-0.0305937157500346,-0.00502941416258912,-0.235228848342488,-0.0180164536135622,0.010418474344517,0,0,0,0,0,0,0,0,0,-3.39477756710183,-0.324736178654676,-0.0449601644484202
48.697979299737,0.408753987992206,-0.0306439971052626,-0.00502732017208243,-0.235408483462902,-0.0179122109086243,0.0104310228361128,0,0,0,0,0,0,0,0,0,-3.39802701732035,-0.325182989570586,-0.0444033665647921
48.7079788373342,0.408447310883288,-0.0306942574694391,-0.00502521575808246,-0.235587075577893,-0.0178078429615665,0.0104435239080329,0,0,0,0,0,0,0,0,0,-3.40128090750842,-0.325624204107619,-0.0438408574149938
48.7179783749314,0.408140131299353,-0.0307444967383323,-0.00502310092032996,-0.235764623437468,-0.0177033502471261,0.0104559774478644,0,0,0,0,0,0,0,0,0,-3.40453918141994,-0.326059765355525,-0.043272677720358
48.7279779125286,0.407832449451866,-0.0307947148077087,-0.00502097565859699,-0.235941125796392,-0.0175987332411628,0.0104683833434344,0,0,0,0,0,0,0,0,0,-3.40780178224184,-0.326489616818984,-0.0426988697483449
48.7379774501258,0.407524265553333,-0.0308449115733322,-0.00501883997268695,-0.236116581414188,-0.0174939924206571,0.0104807414828105,0,0,0,0,0,0,0,0,0,-3.41106865259823,-0.326913702433059,-0.0421194773122271
48.747976987723,0.407215579817304,-0.0308950869309649,-0.00501669386243457,-0.23629098905516,-0.0173891282637074,0.0104930517543027,0,0,0,0,0,0,0,0,0,-3.41433973455483,-0.327331966578656,-0.0415345457699958
48.7579765253202,0.406906392458368,-0.0309452407763676,-0.00501453732770595,-0.236464347488394,-0.0172841412495279,0.0105053140464636,0,0,0,0,0,0,0,0,0,-3.41761496962347,-0.327744354097958,-0.0409441220226551
