t,x,vx,ax,y,vy,ay,z,vz,az,roll,wx,alphax,pitch,wy,alphay,yaw,wz,alphaz
7.0397671469153,0.0011459876152757,0.00165634890884088,0.00156734265335874,0.00114598460524907,0.00165633585723727,0.00156729257484615,0,0,0,0,0,0,0,0,0,-3.93988698932368e-06,-1.13890716159983e-05,-2.7238619363517e-05
7.04976600547861,0.00116262767723834,0.00167205482142435,0.00157419713300952,0.00116262453417918,0.00167204126066353,0.00157414536048432,0,0,0,0,0,0,0,0,0,-4.05513492718335e-06,-1.1664010430891e-05,-2.7756608414114e-05
7.05976486404192,0.00117942512291355,0.00168782923146833,0.00158104370975362,0.0011794218416454,0.00168781514437116,0.00158099019483576,0,0,0,0,0,0,0,0,0,-4.17315795175899e-06,-1.19441642640754e-05,-2.82817522282811e-05
7.06976372260523,0.00119638063680275,0.00170367205996489,0.0015878823860137,0.00119637721197493,0.00170365742886287,0.00158782707919644,0,0,0,0,0,0,0,0,0,-4.2940085662746e-06,-1.22296049592801e-05,-2.8814111693844e-05
7.07976258116854,0.00121349490261748,0.00171958322793029,0.00159471316420566,0.00121349132870014,0.00171956803465421,0.00159465601483532,0,0,0,0,0,0,0,0,0,-4.41773999471096e-06,-1.25204049699025e-05,-2.93537478704826e-05
7.08976143973185,0.00123076860327964,0.00173556265640491,0.00160153604673857,0.00123076487455871,0.00173554688227324,0.00160147700299404,0,0,0,0,0,0,0,0,0,-4.54440618891105e-06,-1.28166373607219e-05,-2.99007219886926e-05
7.09976029829516,0.00124820242092176,0.0017516102664532,0.00160835103601455,0.00124819853149378,0.00175159389226034,0.00160829004488655,0,0,0,0,0,0,0,0,0,-4.67406183446428e-06,-1.31183758096023e-05,-3.04550954487509e-05
7.10975915685847,0.00126579703688722,0.00176772597916357,0.00161515813442876,0.00126579298065402,0.00176770898516787,0.00161509514169877,0,0,0,0,0,0,0,0,0,-4.80676235647959e-06,-1.34256946091847e-05,-3.10169298196838e-05
7.11975801542178,0.00128355313173048,0.00178390971564836,0.00162195734436923,0.00128354890239376,0.0017838920815599,0.00162189229458825,0,0,0,0,0,0,0,0,0,-4.94256392613579e-06,-1.37386686685696e-05,-3.15862868382386e-05
7.12975687398509,0.00130147138521737,0.00180016139704374,0.00162874866821683,0.00130146697627316,0.00180014310201194,0.00162868150468385,0,0,0,0,0,0,0,0,0,-5.08152346656576e-06,-1.40573735149887e-05,-3.21632284078561e-05
7.1397557325484,0.00131955247632524,0.00181648094450965,0.00163553210834515,0.00131954788105824,0.00181646196711063,0.00163546277308533,0,0,0,0,0,0,0,0,0,-5.22369865940675e-06,-1.43818852954665e-05,-3.27478165976472e-05
7.14975459111171,0.00133779708324328,0.00183286827922975,0.00164230766712044,0.00133779229472106,0.00183284859745349,0.00164223610086306,0,0,0,0,0,0,0,0,0,-5.36914795057353e-06,-1.47122807784716e-05,-3.33401136413733e-05
7.15975344967502,0.00135620588337274,0.00184932332241129,0.0016490753469015,0.00135620089443979,0.00184930291364857,0.00164900148905761,0,0,0,0,0,0,0,0,0,-5.51793055658667e-06,-1.50486373555582e-05,-3.39401819364271e-05
7.16975230823834,0.0013747795533271,0.00186584599528509,0.00165583515003959,0.00137477435659882,0.00186582483631416,0.00165575893867944,0,0,0,0,0,0,0,0,0,-5.67010647145594e-06,-1.5391033042997e-05,-3.45480840428191e-05
7.17975116680164,0.0013935187689324,0.00188243621910543,0.00166258707887836,0.00139351335678886,0.00188241428607853,0.00166250845070852,0,0,0,0,0,0,0,0,0,-5.82573647189832e-06,-1.5739546483396e-05,-3.51638826821646e-05
7.18975002536496,0.00141242420522742,0.00189909391514999,0.00166933113575373,0.00141241856980705,0.00189907118357959,0.00166925002609398,0,0,0,0,0,0,0,0,0,-5.98488212411041e-06,-1.60942569473117e-05,-3.57876407366748e-05
7.19974888392827,0.0014314965364639,0.00191581900471977,0.00167606732299384,0.00143149066965705,0.00191579544946457,0.00167598366575373,0,0,0,0,0,0,0,0,0,-6.1476057903187e-06,-1.64552443348492e-05,-3.64194212481512e-05
7.20974774249158,0.00145073643610682,0.00193261140913901,0.00168279564291892,0.00145073032954911,0.00193258700438973,0.00168270937057409,0,0,0,0,0,0,0,0,0,-6.31397063466377e-06,-1.68225891772537e-05,-3.70592874169823e-05
7.21974660105489,0.00147014457683461,0.00194947104975509,0.00168951609784121,0.0014701382219002,0.00194944576902003,0.00168942714140945,0,0,0,0,0,0,0,0,0,-6.48404062963959e-06,-1.71963726384905e-05,-3.77073026011422e-05
7.2297454596182,0.00148972163053937,0.0019663978479385,0.00169622869006488,0.00148971501833405,0.00196637166402881,0.0016961369790819,0,0,0,0,0,0,0,0,0,-6.65788056242178e-06,-1.75766765168161e-05,-3.83635303151947e-05
7.23974431818151,0.00150946826832709,0.00198339172508272,0.00170293342188593,0.00150946138968127,0.00198336461009748,0.00170283888438082,0,0,0,0,0,0,0,0,0,-6.83555604152897e-06,-1.79635832463389e-05,-3.90280342292992e-05
7.24974317674482,0.00152938516051795,0.00200045260260412,0.00170963029559209,0.00152937800597941,0.00200042452791517,0.00170953285806253,0,0,0,0,0,0,0,0,0,-7.01713350259592e-06,-1.83571758985696e-05,-3.97008781682171e-05
7.25974203530813,0.00154947297664644,0.00201758040194194,0.00171631931346272,0.00154946553647303,0.00201755133817839,0.00171621890084994,0,0,0,0,0,0,0,0,0,-7.20268021514592e-06,-1.87575381839626e-05,-4.03821261103255e-05
7.26974089387144,0.00156973238546169,0.00203477504455814,0.00172300047776873,0.00156972464961381,0.00203474496159073,0.0017228970134321,0,0,0,0,0,0,0,0,0,-7.39226428903006e-06,-1.91647544534472e-05,-4.10718421866325e-05
7.27973975243475,0.00159016405492762,0.00205203645193737,0.0017296737907725,0.00159015601306055,0.00205200531886249,0.00172956719646391,0,0,0,0,0,0,0,0,0,-7.58595468064449e-06,-1.95789096999479e-05,-4.17700906797929e-05
7.28973861099806,0.00161076865222324,0.00206936454558684,0.00173633925472775,0.0016107602936793,0.00206933233071035,0.00173622945056565,0,0,0,0,0,0,0,0,0,-7.78382119948073e-06,-2.00000895598968e-05,-4.24769360231299e-05
7.29973746956137,0.00163154684374278,0.00208675924703624,0.00174299687187943,0.0016315381575434,0.00208672591785701,0.00174288377632266,0,0,0,0,0,0,0,0,0,-7.98593451445395e-06,-2.04283803147348e-05,-4.31924427996598e-05
7.30973632812468,0.00165249929509602,0.00210422047783769,0.0017496466444637,0.00165249026993352,0.00210418600103086,0.00174953017428492,0,0,0,0,0,0,0,0,0,-8.19236616034225e-06,-2.08638688924034e-05,-4.39166757411175e-05
7.31973518668799,0.00167362667110843,0.00212174815956562,0.00175628857470775,0.00167361729533774,0.0021217125009656,0.00175616864496665,0,0,0,0,0,0,0,0,0,-8.40318854455901e-06,-2.13066428688269e-05,-4.46496997269876e-05
7.3297340452513,0.00169492963582143,0.00213934221381666,0.00176292266482975,0.0016949198974516,0.00213930533839989,0.00176279918884597,0,0,0,0,0,0,0,0,0,-8.61847495325918e-06,-2.17567904693853e-05,-4.5391579783537e-05
7.33973290381461,0.00171640885249262,0.0021570025622096,0.00176954891703873,0.00171639873917813,0.002156964434077,0.00176942180636444,0,0,0,0,0,0,0,0,0,-8.83829955800053e-06,-2.22144005703764e-05,-4.61423810828524e-05
7.34973176237792,0.00173806498359597,0.00217472912638525,0.00177616733353448,0.00173805448262791,0.00217468970874441,0.0017760364979267,0,0,0,0,0,0,0,0,0,-9.06273742240504e-06,-2.26795627004698e-05,-4.69021689418778e-05
7.35973062094123,0.00175989869082208,0.0021925218280064,0.00178277791650748,0.00175988778911909,0.00219248108315348,0.00178264326390007,0,0,0,0,0,0,0,0,0,-9.29186450848718e-06,-2.31523670421498e-05,-4.76710088214583e-05
