t,x,vx,ax,y,vy,ay,z,vz,az,roll,wx,alphax,pitch,wy,alphay,yaw,wz,alphaz
7.04084211674474,0.00889332638749486,0.015444096716416,0.0181486343951109,0.00355733055499794,0.00617763868656641,0.00725945375804438,0,0,0,0,0,0,0,0,0,0,0,0
7.050846244768,0.00904874091510855,0.0156261453123845,0.0182459784579429,0.00361949636604342,0.00625045812495379,0.00729839138317716,0,0,0,0,0,0,0,0,0,0,0,0
7.06085037279126,0.00920598154312237,0.0158091652646815,0.0183428245659153,0.00368239261724895,0.00632366610587258,0.00733712982636613,0,0,0,0,0,0,0,0,0,0,0,0
7.07085450081452,0.00936505796409796,0.0159931515638045,0.0184391671500705,0.00374602318563918,0.00639726062552179,0.00737566686002821,0,0,0,0,0,0,0,0,0,0,0,0
7.08085862883777,0.00952597982020344,0.0161780991447905,0.0185350006917987,0.00381039192808138,0.00647123965791619,0.00741400027671947,0,0,0,0,0,0,0,0,0,0,0,0
7.09086275686103,0.00968875670266108,0.0163640028877188,0.0186303197227133,0.00387550268106443,0.00654560115508751,0.00745212788908534,0,0,0,0,0,0,0,0,0,0,0,0
7.10086688488429,0.00985339815119998,0.016550857618213,0.018725118824527,0.00394135926047999,0.00662034304728521,0.00749004752981078,0,0,0,0,0,0,0,0,0,0,0,0
7.11087101290755,0.0100199136535138,0.0167386581079416,0.0188193926289264,0.00400796546140553,0.00669546324317665,0.00752775705157057,0,0,0,0,0,0,0,0,0,0,0,0
7.12087514093081,0.0101883126447236,0.0169273990751173,0.0189131358174486,0.00407532505788944,0.0067709596300469,0.00756525432697945,0,0,0,0,0,0,0,0,0,0,0,0
7.13087926895407,0.0103586045068453,0.0171170751849947,0.0190063431213559,0.00414344180273811,0.0068468300739979,0.00760253724854237,0,0,0,0,0,0,0,0,0,0,0,0
7.14088339697732,0.0105307985682626,0.0173076810503681,0.0190990093215117,0.00421231942730503,0.00692307242014723,0.00763960372860469,0,0,0,0,0,0,0,0,0,0,0,0
7.15088752500058,0.0107049041032045,0.0174992112320658,0.019191129248256,0.0042819616412818,0.00699968449282634,0.00767645169930242,0,0,0,0,0,0,0,0,0,0,0,0
7.16089165302384,0.0108809303312281,0.0176916602394457,0.0192826977812809,0.00435237213249123,0.00707666409577829,0.00771307911251236,0,0,0,0,0,0,0,0,0,0,0,0
7.1708957810471,0.0110588864167058,0.0178850225308875,0.019373709849506,0.00442355456668233,0.007154009012355,0.00774948393980241,0,0,0,0,0,0,0,0,0,0,0,0
7.18089990907036,0.0112387814683182,0.0180792925142849,0.0194641604309542,0.00449551258732728,0.00723171700571397,0.00778566417238169,0,0,0,0,0,0,0,0,0,0,0,0
7.19090403709362,0.0114206245385511,0.0182744645475364,0.0195540445526271,0.00456824981542044,0.00730978581901455,0.00782161782105085,0,0,0,0,0,0,0,0,0,0,0,0
7.20090816511688,0.011604424623198,0.0184705329390342,0.0196433572903804,0.00464176984927919,0.00738821317561367,0.00785734291615216,0,0,0,0,0,0,0,0,0,0,0,0
7.21091229314013,0.0117901906608672,0.0186674919481527,0.0197320937687996,0.00471607626434688,0.00746699677926109,0.00789283750751985,0,0,0,0,0,0,0,0,0,0,0,0
7.22091642116339,0.011977931532494,0.0188653357857354,0.0198202491610755,0.0047911726129976,0.00754613431429417,0.00792809966443022,0,0,0,0,0,0,0,0,0,0,0,0
7.23092054918665,0.0121676560608574,0.0190640586145802,0.0199078186888798,0.00486706242434295,0.00762562344583208,0.00796312747555191,0,0,0,0,0,0,0,0,0,0,0,0
7.24092467720991,0.012359373010102,0.019263654549924,0.0199947976222403,0.00494374920404079,0.0077054618199696,0.0079979190488961,0,0,0,0,0,0,0,0,0,0,0,0
7.25092880523317,0.0125530910852645,0.0194641176599259,0.0200811812794168,0.00502123643410581,0.00778564706397035,0.00803247251176672,0,0,0,0,0,0,0,0,0,0,0,0
7.26093293325643,0.0127488189318055,0.0196654419661489,0.0201669650267766,0.0050995275727222,0.00786617678645955,0.00806678601071064,0,0,0,0,0,0,0,0,0,0,0,0
7.27093706127969,0.0129465651351452,0.0198676214440408,0.0202521442786698,0.00517862605405807,0.00794704857761631,0.00810085771146794,0,0,0,0,0,0,0,0,0,0,0,0
7.28094118930294,0.0131463382202048,0.0200706500234133,0.0203367144973051,0.00525853528808192,0.00802826000936533,0.00813468579892204,0,0,0,0,0,0,0,0,0,0,0,0
