t,x,vx,ax,y,vy,ay,z,vz,az,roll,wx,alphax,pitch,wy,alphay,yaw,wz,alphaz
9.64964328592163,0.0363722077755655,0.0212344233446863,0.00728717273308472,0.0566373058146381,0.0324877159554232,0.0101408556145485,0,0,0,0,0,0,0,0,0,-0.0120000623937735,-0.0142120637575421,-0.0136475103949609
9.65964251879458,0.0365849000980764,0.0213073122148713,0.00729171288027644,0.0569626648629991,0.032589070441783,0.0101315593821535,0,0,0,0,0,0,0,0,0,-0.0121428560972038,-0.0143490380385637,-0.0137495928580369
9.66964175166753,0.0367983214796661,0.0213802462788379,0.00729621219027148,0.0572890369099851,0.032690330848498,0.0101220380779158,0,0,0,0,0,0,0,0,0,-0.0122870245514987,-0.014487036006578,-0.0138522647699139
9.67964098454048,0.0370124723701967,0.0214532251284682,0.00730067070762758,0.0576164210036036,0.0327914949200956,0.0101122907160875,0,0,0,0,0,0,0,0,0,-0.0124325780222687,-0.014626063573071,-0.0139555296353816
9.68964021741343,0.0372273532154521,0.02152624835609,0.00730508847690254,0.0579448161692596,0.032892560391237,0.0101023163089952,0,0,0,0,0,0,0,0,0,-0.0125795268344107,-0.0147661266847533,-0.0140593909952574
9.69963945028638,0.0374429644571416,0.0215993155544763,0.00730946554265412,0.0582742214096573,0.0329935249866978,0.0100921138670838,0,0,0,0,0,0,0,0,0,-0.0127278813724613,-0.0149072313239222,-0.0141638524267954
9.70963868315933,0.0376593065329052,0.0216724263168461,0.00731380194944009,0.0586046357047007,0.0330943864213496,0.0100816823989608,0,0,0,0,0,0,0,0,0,-0.0128776520809555,-0.0150493835088284,-0.0142689175440937
9.71963791603228,0.0378763798763173,0.0217455802368635,0.00731809774181821,0.0589360580113948,0.0331951424001421,0.010071020911441,0,0,0,0,0,0,0,0,0,-0.013028849464787,-0.0151925892940461,-0.0143745899985126
9.72963714890523,0.0380941849168917,0.0218187769086385,0.00732235296434627,0.0592684872637461,0.0332957906180848,0.0100601284095918,0,0,0,0,0,0,0,0,0,-0.0131814840895742,-0.015336854770848,-0.014480873479091
9.73963638177818,0.0383127220800857,0.0218920159267264,0.00732656766158202,0.0596019223726631,0.0333963287602303,0.0100490038967785,0,0,0,0,0,0,0,0,0,-0.0133355665820281,-0.0154821860675839,-0.0145877717129666
9.74963561465113,0.0385319917873047,0.0219652968861282,0.00733074187808325,0.0599363622258571,0.0334967545016572,0.0100376463747103,0,0,0,0,0,0,0,0,0,-0.0134911076303259,-0.015628589350064,-0.0146952884658036
9.75963484752408,0.0387519944559066,0.0220386193822904,0.00733487565840772,0.0602718056877416,0.0335970655074539,0.0100260548434873,0,0,0,0,0,0,0,0,0,-0.0136481179844868,-0.0157760708219461,-0.014803427542221
9.76963408039703,0.0389727304992066,0.0221119830111049,0.0073389690471132,0.0606082515993332,0.0336972594327027,0.010014228301647,0,0,0,0,0,0,0,0,0,-0.0138066084567529,-0.0159246367251273,-0.0149121927862243
9.77963331326998,0.039194200326481,0.0221853873689094,0.00734302208875747,0.0609456987781506,0.0337973339224645,0.0100021657462118,0,0,0,0,0,0,0,0,0,-0.013966589921973,-0.0160742933401401,-0.0150215880816425
9.78963254614293,0.0394164043429721,0.022258832052487,0.00734703482789829,0.0612841460181151,0.0338972866117638,0.00998986617273664,0,0,0,0,0,0,0,0,0,-0.0141280733179917,-0.0162250469865528,-0.015131617352568
9.79963177901588,0.0396393429498928,0.0223323166590662,0.00735100730909344,0.0616235920894495,0.0339971151255741,0.00997732857535775,0,0,0,0,0,0,0,0,0,-0.0142910696460407,-0.0163769040233742,-0.0152422845638004
9.80963101188883,0.0398630165444304,0.0224058407863214,0.00735493957690067,0.0619640357385781,0.0340968170788045,0.0099645519468409,0,0,0,0,0,0,0,0,0,-0.0144555899711362,-0.016529870849463,-0.0153535937212958
9.81963024476178,0.040087425519752,0.0224794040323722,0.00735883167587778,0.0623054756880257,0.0341963900762855,0.00995153527863083,0,0,0,0,0,0,0,0,0,-0.0146216454224791,-0.0166839539039413,-0.0154655488726156
9.82962947763473,0.040312570265008,0.0225530059957839,0.00736268365058252,0.0626479106363168,0.0342958317127567,0.00993827756090077,0,0,0,0,0,0,0,0,0,-0.0147892471938593,-0.0168391596666133,-0.0155781541073828
9.83962871050768,0.0405384511653372,0.0226266462755675,0.00736649554557266,0.0629913392578745,0.0343951395728539,0.00992477778260256,0,0,0,0,0,0,0,0,0,-0.0149584065440653,-0.016995494658388,-0.0156914135577428
9.84962794338063,0.0407650686018709,0.0227003244711791,0.00737026740540599,0.0633357602029198,0.0344943112310973,0.00991103493151712,0,0,0,0,0,0,0,0,0,-0.0151291347972965,-0.0171529654417066,-0.0158053313988255
9.85962717625357,0.0409924229517376,0.0227740401825208,0.00737399927464026,0.0636811720973697,0.0345933442518803,0.00989704799430546,0,0,0,0,0,0,0,0,0,-0.0153014433435815,-0.0173115786209745,-0.0159199118492134
9.86962640912652,0.0412205145880675,0.02284779300994,0.00737769119783324,0.0640275735427369,0.034692236189458,0.00988281595656007,0,0,0,0,0,0,0,0,0,-0.0154753436391994,-0.0174713408429989,-0.0160351591714111
9.87962564199947,0.0414493438799964,0.0229215825542298,0.00738134321954272,0.0643749631160274,0.0347909845879371,0.00986833780285677,0,0,0,0,0,0,0,0,0,-0.0156508472071062,-0.0176322587974292,-0.0161510776723217
9.88962487487242,0.0416789111926711,0.0229954084166286,0.00738495538432645,0.0647233393696395,0.0348895869812662,0.00985361251680707,0,0,0,0,0,0,0,0,0,-0.0158279656373651,-0.0177943392172043,-0.0162676717037274
9.89962410774537,0.0419092168872528,0.0230692701988205,0.00738852773674222,0.0650727008312621,0.0349880408932259,0.00983863908111086,0,0,0,0,0,0,0,0,0,-0.016006710587582,-0.0179575888790034,-0.0163849456627711
9.90962334061832,0.0421402613209223,0.0231431675029352,0.00739206032134779,0.0654230460037727,0.0350863438374205,0.00982341647760966,0,0,0,0,0,0,0,0,0,-0.0161870937833447,-0.0181220146037018,-0.0165029039924454
9.91962257349127,0.0423720448468845,0.0232170999315479,0.00739555318270092,0.0657743733651361,0.0351844933172693,0.00980794368734027,0,0,0,0,0,0,0,0,0,-0.016369127018668,-0.0182876232568324,-0.016621551182084
