t,x,vx,ax,y,vy,ay,z,vz,az,roll,wx,alphax,pitch,wy,alphay,yaw,wz,alphaz
26.8076054516901,0.415067648957472,0.0306321417834737,-0.00337460656718601,0.231425949720683,-0.0207807989946769,-0.0122866669056507,0,0,0,0,0,0,0,0,0,-1.38147888723235,-0.325867619088846,0.0368726970867444
26.817604353777,0.415373767844488,0.0305983375800234,-0.00338697761263212,0.231217550224098,-0.0209036892499369,-0.0122940684655151,0,0,0,0,0,0,0,0,0,-1.38473535251932,-0.325495969450341,0.0374625659752898
26.827603255864,0.415679548108056,0.0305644096459722,-0.00339935539758036,0.23100792159133,-0.0210266530792333,-0.012301383280441,0,0,0,0,0,0,0,0,0,-1.3879880723161,-0.325118447366807,0.0380472923248997
26.837602157951,0.415984988510667,0.0305303579141424,-0.0034117398800144,0.230797063091061,-0.0211496896137656,-0.0123086110611568,0,0,0,0,0,0,0,0,0,-1.39123698816263,-0.324735104519939,0.0386268244830377
26.8476010600379,0.416290087814147,0.0304961823177771,-0.00342413101780169,0.230584974000675,-0.0212727979818422,-0.0123157515186597,0,0,0,0,0,0,0,0,0,-1.39448204211818,-0.324345993100631,0.0392011122537388
26.8575999621249,0.416594844779653,0.0304618827905412,-0.00343652876869348,0.230371653606284,-0.021395977308883,-0.0123228043642207,0,0,0,0,0,0,0,0,0,-1.39772317676634,-0.323951165794376,0.0397701069023208
26.8675988642119,0.416899258167684,0.0304274592665226,-0.0034489330903249,0.230157101202762,-0.0215192267174226,-0.0123297693093898,0,0,0,0,0,0,0,0,0,-1.40096033521994,-0.323550675766646,0.0403337611593269
26.8775977662989,0.41720332673808,0.0303929116802334,-0.003461343940215,0.229941316093769,-0.0216425453271125,-0.0123366460660005,0,0,0,0,0,0,0,0,0,-1.40419346112571,-0.323144576648213,0.0408920292238554
26.8875966683858,0.417507049250029,0.030358239966611,-0.00347376127576684,0.229724297591783,-0.0217659322547246,-0.0123434343461748,0,0,0,0,0,0,0,0,0,-1.40742249866891,-0.322732922520455,0.0414448667661194
26.8975955704728,0.41781042446207,0.0303234440610194,-0.00348618505426751,0.229506045018127,-0.0218893866141536,-0.0123501338623288,0,0,0,0,0,0,0,0,0,-1.41064739257775,-0.322315767900636,0.0419922309293316
26.9075944725598,0.418113451132099,0.0302885238992502,-0.00349861523288824,0.229286557703,-0.0220129075164203,-0.0123567443271769,0,0,0,0,0,0,0,0,0,-1.41386808812766,-0.321893167727165,0.0425340803309426
26.9175933746468,0.418416128017371,0.0302534794175238,-0.00351105176868445,0.229065834985502,-0.0221364940696744,-0.0123632654537373,0,0,0,0,0,0,0,0,0,-1.41708453114546,-0.321465177344859,0.0430703750631139
26.9275922767337,0.418718453874506,0.0302183105524907,-0.00352349461859577,0.228843876213666,-0.0222601453791976,-0.0123696969553369,0,0,0,0,0,0,0,0,0,-1.42029666801328,-0.321031852490188,0.0436010766926065
26.9375911788207,0.419020427459492,0.0301830172412323,-0.0035359437394462,0.228620680744486,-0.0223838605474068,-0.0123760385456164,0,0,0,0,0,0,0,0,0,-1.42350444567252,-0.320593249276539,0.0441261482599666
26.9475900809077,0.419322047527691,0.0301475994212626,-0.00354839908794405,0.228396247943944,-0.0225076386738572,-0.0123822899385351,0,0,0,0,0,0,0,0,0,-1.4267078116274,-0.320149424179483,0.0446455542780248
26.9575889829947,0.419623312833843,0.0301120570305287,-0.00356086062068214,0.228170577187041,-0.0226314788552455,-0.0123884508483761,0,0,0,0,0,0,0,0,0,-1.42990671394864,-0.319700434022064,0.0451592607298314
26.9675878850816,0.419924222132067,0.0300763900074126,-0.00357332829413779,0.227943667857823,-0.0227553801854132,-0.0123945209897515,0,0,0,0,0,0,0,0,0,-1.43310110127679,-0.31924633596011,0.0456672350658597
26.9775867871686,0.420224774175871,0.0300405982907319,-0.00358580206467292,0.227715519349411,-0.02287934175535,-0.0124005000776072,0,0,0,0,0,0,0,0,0,-1.43629092282547,-0.318787187467575,0.0461694462006254
26.9875856892556,0.420524967718151,0.0300046818197412,-0.00359828188853408,0.227486131064032,-0.0230033626531969,-0.0124063878272282,0,0,0,0,0,0,0,0,0,-1.43947612838455,-0.318323046321919,0.046665864508716
26.9975845913426,0.4208248015112,0.0299686405341331,-0.00361076772185261,0.227255502413041,-0.0231274419642497,-0.0124121839542436,0,0,0,0,0,0,0,0,0,-1.44265666832302,-0.317853970589533,0.0471564618201658
27.0075834934295,0.42112427430671,0.0299324743740393,-0.00362325952064461,0.227023632816955,-0.023251578770963,-0.0124178881746316,0,0,0,0,0,0,0,0,0,-1.44583249359191,-0.317380018611205,0.047641211415243
27.0175823955165,0.421423384855773,0.0298961832800321,-0.00363575724081109,0.22679052170548,-0.0233757721529527,-0.0124235002047248,0,0,0,0,0,0,0,0,0,-1.44900355572685,-0.316901248987654,0.048120088018643
27.0275812976035,0.421722131908895,0.0298597671931251,-0.00364826083813804,0.226556168517539,-0.0235000211870005,-0.0124290197612152,0,0,0,0,0,0,0,0,0,-1.45216980685069,-0.316417720565112,0.0485930677931461
27.0375801996904,0.422020514215989,0.0298232260547748,-0.00366077026829646,0.226320572701299,-0.0236243249470571,-0.0124344465611594,0,0,0,0,0,0,0,0,0,-1.45533119967584,-0.315929492420982,0.0490601283326731
27.0475791017774,0.422318530526388,0.0297865598068814,-0.00367328548684247,0.226083733714201,-0.0237486825042456,-0.0124397803219837,0,0,0,0,0,0,0,0,0,-1.45848768750649,-0.31543662384956,0.04952124865477
27.0575780038644,0.422616179588844,0.02974976839179,-0.00368580644921741,0.22584565102299,-0.023873092926866,-0.0124450207614892,0,0,0,0,0,0,0,0,0,-1.46163922424076,-0.314939174347844,0.0499764091926066
27.0675769059514,0.422913460151538,0.0297128517522917,-0.00369833311074789,0.225606324103739,-0.0239975552803984,-0.0124501675978571,0,0,0,0,0,0,0,0,0,-1.46478576437262,-0.314437203601418,0.0504255917864127
27.0775758080383,0.423210370962078,0.0296758098316253,-0.00371086542664586,0.225365752441879,-0.0241220686275066,-0.0124552205496536,0,0,0,0,0,0,0,0,0,-1.46792726299372,-0.313930771470426,0.0508687796743715
27.0875747101253,0.423506910767508,0.0296386425734776,-0.00372340335200876,0.225123935532229,-0.0242466320280427,-0.0124601793358356,0,0,0,0,0,0,0,0,0,-1.47106367579505,-0.313419937975644,0.0513059574830728
27.0975736122123,0.423803078314312,0.0296013499219851,-0.00373594684181951,0.224880872879021,-0.0243712445390505,-0.0124650436757551,0,0,0,0,0,0,0,0,0,-1.47419495906849,-0.312904763284644,0.051737111217434
27.1075725142993,0.424098872348416,0.0295639318217349,-0.0037484958509467,0.22463656399593,-0.0244959052147698,-0.0124698132891652,0,0,0,0,0,0,0,0,0,-1.47732106970821,-0.312385307698067,0.0521622282501167
27.1175714163862,0.424394291615195,0.0295263882177661,-0.00376105033414457,0.224391008406102,-0.0246206131066398,-0.0124744878962249,0,0,0,0,0,0,0,0,0,-1.48044196521193,-0.311861631635995,0.05258129731055
27.1275703184732,0.424689334859477,0.0294887190555706,-0.00377361024605317,0.224144205642181,-0.0247453672633043,-0.0124790672175043,0,0,0,0,0,0,0,0,0,-1.48355760368205,-0.311333795624448,0.0529943084734251
