t,x,vx,ax,y,vy,ay,z,vz,az,roll,wx,alphax,pitch,wy,alphay,yaw,wz,alphaz
22.178147506241,0.624461773354192,0.0596930022588337,-0.00215758943985585,-0.17617786609537,-0.0665260952505363,0.0271878010717466,0,0,0,0,0,0,0,0,0,-1.84336695027501,0.185178362615269,0.139665128641618
22.1881464279559,0.625058530984351,0.0596713776434312,-0.00216779908065444,-0.176841694918741,-0.066253857373762,0.0272655261915939,0,0,0,0,0,0,0,0,0,-1.84150837192246,0.186578665113723,0.140428012742442
22.1981453496708,0.625655071881397,0.0596496509714825,-0.00217800294550728,-0.177502797783451,-0.0659808459229915,0.0273425323546692,0,0,0,0,0,0,0,0,0,-1.83963575385927,0.187986613449196,0.141194435451533
22.2081442713858,0.626251395025165,0.0596278223008824,-0.00218820100617013,-0.178161166990555,-0.0657070680929935,0.0274188183702764,0,0,0,0,0,0,0,0,0,-1.83774901945944,0.189402242696454,0.141964334015313
22.2181431931007,0.626847499396068,0.0596058916898075,-0.00219839323439875,-0.178816794913105,-0.0654325310903024,0.0274943830756993,0,0,0,0,0,0,0,0,0,-1.83584809174944,0.190825587290254,0.142737643139686
22.2281421148156,0.627443383975104,0.0595838591967172,-0.00220857960194891,-0.179469673996271,-0.0651572421329386,0.0275692253362055,0,0,0,0,0,0,0,0,0,-1.83393289341473,0.192256680999636,0.143514294929267
22.2381410365305,0.628039047743856,0.059561724880353,-0.00221876008057641,-0.180119796757448,-0.0648812084501288,0.0276433440450478,0,0,0,0,0,0,0,0,0,-1.83200334680654,0.193695556901612,0.144294218825762
22.2481399582455,0.628634489684496,0.0595394887997391,-0.00222893464203696,-0.180767155786376,-0.0646044372820255,0.0277167381234657,0,0,0,0,0,0,0,0,0,-1.83005937394897,0.195142247354222,0.145077341545283
22.2581388799604,0.629229708779786,0.059517151014182,-0.00223910325808636,-0.181411743745234,-0.0643269358794291,0.027789406520684,0,0,0,0,0,0,0,0,0,-1.82810089654627,0.196596783968968,0.145863587014959
22.2681378016753,0.629824704013087,0.0594947115832707,-0.00224926590048037,-0.182053553368762,-0.064048711503505,0.0278613482139112,0,0,0,0,0,0,0,0,0,-1.82612783599043,0.19805919758262,0.146652876308641
22.2781367233902,0.630419474368351,0.0594721705668762,-0.00225942254097477,-0.182692577464348,-0.0637697714255067,0.0279325622083351,0,0,0,0,0,0,0,0,0,-1.82414011336914,0.199529518228341,0.147445127581655
22.2881356451052,0.631014018830135,0.0594495280251527,-0.0022695731513253,-0.183328808912136,-0.063490122926495,0.0280030475371182,0,0,0,0,0,0,0,0,0,-1.82213764947392,0.201007775106197,0.148240256004786
22.2981345668201,0.631608336383597,0.0594267840185359,-0.00227971770328776,-0.183962240665123,-0.0632097732970568,0.0280728032613907,0,0,0,0,0,0,0,0,0,-1.82012036480859,0.202493996552973,0.14903817369745
22.308133488535,0.6322024260145,0.0594039386077446,-0.00228985616861789,-0.184592865749247,-0.0629287298370285,0.0281418284702426,0,0,0,0,0,0,0,0,0,-1.8180881795981,0.203988210011328,0.149838789660015
22.3181324102499,0.632796286709216,0.0593809918537798,-0.00229998851907146,-0.185220677263483,-0.0626469998552142,0.0282101222807145,0,0,0,0,0,0,0,0,0,-1.81604101379759,0.205490441998268,0.150642009705224
22.3281313319649,0.633389917454731,0.0593579438179247,-0.00231011472640423,-0.185845668379931,-0.0623645906691065,0.0282776838377859,0,0,0,0,0,0,0,0,0,-1.81397878710184,0.20700071807293,0.151447736389038
22.3381302536798,0.63398331723864,0.0593347945617451,-0.00232023476237199,-0.186467832343896,-0.0620815096046086,0.0283445123143635,0,0,0,0,0,0,0,0,0,-1.81190141895497,0.208519062803669,0.152255868940571
